school_id,country,school_name,homepage_url,seed_kind,source
US00207,usa,Ohio Dominican University Columbus,https://collegedunia.com/usa/university/1191-ohio-dominican-university-columbus,school_homepage,usa_master_923_backfill
US00208,usa,Franklin University Columbus,https://collegedunia.com/usa/university/1193-franklin-university-columbus,school_homepage,usa_master_923_backfill
US00209,usa,Texas Am University Commerce,https://collegedunia.com/usa/university/1194-texas-am-university-commerce,school_homepage,usa_master_923_backfill
US00210,usa,University Of New Hampshire Durham,https://collegedunia.com/usa/university/1195-university-of-new-hampshire-durham,school_homepage,new_vs_265
US00211,usa,University Of Central Arkansas Conway,https://collegedunia.com/usa/university/1198-university-of-central-arkansas-conway,school_homepage,usa_master_923_backfill
US00212,usa,Tennessee Technological University Cookeville,https://collegedunia.com/usa/university/1199-tennessee-technological-university-cookeville,school_homepage,usa_master_923_backfill
US00213,usa,University Of Miami Coral Gables,https://collegedunia.com/usa/university/1200-university-of-miami-coral-gables,school_homepage,new_vs_265
US00214,usa,Texas Am University Corpus Christi,https://collegedunia.com/usa/university/1203-texas-am-university-corpus-christi,school_homepage,usa_master_923_backfill
US00215,usa,Oregon State University Corvallis,https://collegedunia.com/usa/university/1205-oregon-state-university-corvallis,school_homepage,new_vs_265
US00216,usa,Western Carolina University Cullowhee,https://collegedunia.com/usa/university/1211-western-carolina-university-cullowhee,school_homepage,usa_master_923_backfill
US00217,usa,University Of North Georgia Dahlonega,https://collegedunia.com/usa/university/1213-university-of-north-georgia-dahlonega,school_homepage,usa_master_923_backfill
US00218,usa,Southern Methodist University Dallas,https://collegedunia.com/usa/university/1215-southern-methodist-university-dallas,school_homepage,usa_master_923_backfill
US00219,usa,Dallas Baptist University Dallas,https://collegedunia.com/usa/university/1216-dallas-baptist-university-dallas,school_homepage,usa_master_923_backfill
US00220,usa,Western Connecticut State University Danbury,https://collegedunia.com/usa/university/1218-western-connecticut-state-university-danbury,school_homepage,usa_master_923_backfill
US00221,usa,Centre College Danville,https://collegedunia.com/usa/college/1219-centre-college-danville,school_homepage,usa_master_923_backfill
US00222,usa,Saint Ambrose University Davenport,https://collegedunia.com/usa/university/1220-saint-ambrose-university-davenport,school_homepage,usa_master_923_backfill
US00223,usa,University Of California Davis,https://collegedunia.com/usa/university/1222-university-of-california-davis,school_homepage,new_vs_265
US00224,usa,Wright State University Dayton,https://collegedunia.com/usa/university/1223-wright-state-university-dayton,school_homepage,usa_master_923_backfill
US00225,usa,University Of Dayton Dayton,https://collegedunia.com/usa/university/1224-university-of-dayton-dayton,school_homepage,new_vs_265
US00226,usa,Embry Riddle Aeronautical University Daytona Beach,https://collegedunia.com/usa/university/1226-embry-riddle-aeronautical-university-daytona-beach,school_homepage,usa_master_923_backfill
US00227,usa,University Of Michigan Dearborn,https://collegedunia.com/usa/university/1228-university-of-michigan-dearborn,school_homepage,new_vs_265
US00228,usa,Trinity International University Deerfield,https://collegedunia.com/usa/university/1233-trinity-international-university-deerfield,school_homepage,usa_master_923_backfill
US00229,usa,Northern Illinois University Dekalb,https://collegedunia.com/usa/university/1235-northern-illinois-university-dekalb,school_homepage,usa_master_923_backfill
US00230,usa,Stetson University Deland,https://collegedunia.com/usa/university/1236-stetson-university-deland,school_homepage,usa_master_923_backfill
US00231,usa,Ohio Wesleyan University Delaware,https://collegedunia.com/usa/university/1237-ohio-wesleyan-university-delaware,school_homepage,usa_master_923_backfill
US00232,usa,University Of North Texas Denton,https://collegedunia.com/usa/university/1238-university-of-north-texas-denton,school_homepage,new_vs_265
US00233,usa,Texas Womans University Denton,https://collegedunia.com/usa/university/1239-texas-womans-university-denton,school_homepage,usa_master_923_backfill
US00234,usa,University Of Colorado Denver,https://collegedunia.com/usa/university/1240-university-of-colorado-denver,school_homepage,usa_master_923_backfill
US00235,usa,University Of Denver Denver,https://collegedunia.com/usa/university/1241-university-of-denver-denver,school_homepage,usa_master_923_backfill
US00236,usa,Metropolitan State University Denver,https://collegedunia.com/usa/university/1243-metropolitan-state-university-denver,school_homepage,usa_master_923_backfill
US00237,usa,Regis University Denver,https://collegedunia.com/usa/university/1244-regis-university-denver,school_homepage,usa_master_923_backfill
US00238,usa,Drake University Des Moines,https://collegedunia.com/usa/university/1246-drake-university-des-moines,school_homepage,usa_master_923_backfill
US00239,usa,Wayne State University Detroit,https://collegedunia.com/usa/university/1247-wayne-state-university-detroit,school_homepage,usa_master_923_backfill
US00240,usa,University Of Detroit Mercy Detroit,https://collegedunia.com/usa/university/1248-university-of-detroit-mercy-detroit,school_homepage,usa_master_923_backfill
US00241,usa,Millennia Atlantic University Doral,https://collegedunia.com/usa/university/1252-millennia-atlantic-university-doral,school_homepage,usa_master_923_backfill
US00242,usa,Delaware State University Dover,https://collegedunia.com/usa/university/1254-delaware-state-university-dover,school_homepage,usa_master_923_backfill
US00243,usa,Devry University Naperville,https://collegedunia.com/usa/university/1255-devry-university-naperville,school_homepage,usa_master_923_backfill
US00244,usa,University Of Dubuque Dubuque,https://collegedunia.com/usa/university/1256-university-of-dubuque-dubuque,school_homepage,usa_master_923_backfill
US00245,usa,Duke University Durham,https://collegedunia.com/usa/university/1259-duke-university-durham,school_homepage,base_265
US00246,usa,North Carolina Central University Durham,https://collegedunia.com/usa/university/1260-north-carolina-central-university-durham,school_homepage,usa_master_923_backfill
US00247,usa,New England Institute Of Technology Warwick,https://collegedunia.com/usa/university/1261-new-england-institute-of-technology-warwick,school_homepage,new_vs_265
US00248,usa,Michigan State University East Lansing,https://collegedunia.com/usa/university/1262-michigan-state-university-east-lansing,school_homepage,new_vs_265
US00249,usa,East Stroudsburg University East Stroudsburg,https://collegedunia.com/usa/university/1263-east-stroudsburg-university-east-stroudsburg,school_homepage,usa_master_923_backfill
US00250,usa,Lafayette College Easton,https://collegedunia.com/usa/college/1264-lafayette-college-easton,school_homepage,usa_master_923_backfill
US00251,usa,University Of Wisconsin Eau Claire,https://collegedunia.com/usa/university/1266-university-of-wisconsin-eau-claire,school_homepage,new_vs_265
US00252,usa,Edinboro University Edinboro,https://collegedunia.com/usa/university/1267-edinboro-university-edinboro,school_homepage,usa_master_923_backfill
US00253,usa,University Of Central Oklahoma Edmond,https://collegedunia.com/usa/university/1268-university-of-central-oklahoma-edmond,school_homepage,usa_master_923_backfill
US00254,usa,Oklahoma Christian University Edmond,https://collegedunia.com/usa/university/1269-oklahoma-christian-university-edmond,school_homepage,usa_master_923_backfill
US00255,usa,University Of Texas El Paso,https://collegedunia.com/usa/university/1272-university-of-texas-el-paso,school_homepage,usa_master_923_backfill
US00256,usa,Elizabethtown College Elizabethtown,https://collegedunia.com/usa/college/1274-elizabethtown-college-elizabethtown,school_homepage,usa_master_923_backfill
US00257,usa,Central Washington University Ellensburg,https://collegedunia.com/usa/university/1277-central-washington-university-ellensburg,school_homepage,new_vs_265
US00258,usa,Elmhurst College Elmhurst,https://collegedunia.com/usa/college/1278-elmhurst-college-elmhurst,school_homepage,usa_master_923_backfill
US00259,usa,Elmira College Elmira,https://collegedunia.com/usa/college/1279-elmira-college-elmira,school_homepage,usa_master_923_backfill
US00260,usa,Emporia State University Emporia,https://collegedunia.com/usa/university/1282-emporia-state-university-emporia,school_homepage,usa_master_923_backfill
US00261,usa,Gannon University Erie,https://collegedunia.com/usa/university/1283-gannon-university-erie,school_homepage,usa_master_923_backfill
US00262,usa,Mercyhurst University Erie,https://collegedunia.com/usa/college/1284-mercyhurst-university-erie,school_homepage,usa_master_923_backfill
US00263,usa,University Of Oregon Eugene,https://collegedunia.com/usa/university/1286-university-of-oregon-eugene,school_homepage,new_vs_265
